x,y
2049.1836,1781.2536
2164.737,1903.677
2092.7394,1949.019
2178.8892,2033.3826
2296.3662,2308.4574
2270.9472,2512.6338
2301.1752,2263.8024
2332.7772,2133.5472
2330.4414,2167.8972
1992.5748,2241.5436
2099.1972,2150.5848
2001.6432,2190.9804
2013.4596,2367.9516
2262.7032,2204.0334
2388.699,2326.3194
2253.4974,2117.0592
2247.3144,2105.1054
2263.2528,2286.8856
2483.6424,2266.9626
2431.4304,2113.6242
2501.7792,1920.4398
2484.6042,1808.4588
2427.4458,1752.1248
2332.5024,1665.288
2247.7266,1481.0346
2503.1532,1672.845
2640.5532,1653.609
2643.7134,1534.8954
2586.6924,1790.0472
2655.255,1950.2556
2638.08,2062.0992
2742.504,2154.5694
2667.0714,1911.3714
2957.535,1963.7208
2859.1566,2262.1536
2856.9582,2086.419
2874.8202,2043.4128
2527.7478,2124.204
2607.9894,1927.722
2760.6408,2046.8478
2698.3986,1784.826
2524.5876,1740.5832
2522.2518,1754.3232
2374.6842,1822.7484
2489.1384,2842.3938
2490.2376,2791.281
2481.444,2647.1484
2279.8782,2689.1928
2284.4124,2809.0056
2191.53,2784.8232
2379.6306,2965.2294
2635.8816,3302.6838
3001.0908,3370.422
2828.5164,3215.2974
2556.8766,3139.59
2669.9568,3024.861
2633.5458,2869.0494
2360.6694,2637.1182
2184.66,2666.7966
1920.5772,2900.7888
1775.6202,2745.1146
1856.4114,2860.8054
2107.4412,2889.522
2551.1058,2669.5446
2643.9882,2927.1696
2534.4804,3022.6626
2436.2394,3115.545
2535.5796,3121.041
2334.1512,3050.1426
2146.7376,2926.4826
2163.5004,2958.222
2043.825,3071.9892
2102.22,2995.1826
2352.0132,3204.168
2595.3486,3311.7522
2377.1574,3160.2
2311.2054,3093.4236
2327.1438,3053.3028
2401.3398,3212.6868
2583.3948,3282.7608
2725.4664,3156.2154
2573.0898,2991.3354
2768.61,2953.8252
2832.501,2827.1424
2634.0954,2622.966
2475.948,2542.0374
2700.7344,2522.5266
2752.6716,2282.214
2637.1182,2039.016
2638.3548,2034.7566
2718.5964,1812.993
2832.0888,1863.6936
2701.8336,2051.9316
2436.102,2228.7654
2361.6312,2258.7186
2352.8376,1972.9266
2215.575,1825.359
2025.4134,1840.6104
2084.6328,2025.6882
2142.8904,1957.263
2046.2982,2092.8768
1870.8384,1980.2088
1896.9444,2032.833
2234.124,1887.3264
2209.2546,1660.8912
2388.012,1851.465
2397.9048,1918.791
2302.2744,2109.777
2445.3078,2108.6778
2363.6922,1889.5248
2309.9688,1860.9456
2394.4698,2054.2674
2231.6508,2348.853
2403.2634,2150.1726
2295.267,2279.6034
2091.915,2190.2934
1883.6166,1906.0128
1925.7984,2085.045
1943.2482,2055.0918
1827.5574,1895.0208
1876.884,1699.5006
1756.659,1625.9916
1781.9406,1578.4512
1821.237,1629.9762
1769.9868,1618.9842
1810.5198,1605.2442
1526.7888,1565.5356
1294.7202,1746.4914
1309.8342,1518.1326
1219.0128,1451.0814
1306.5366,1629.2892
1071.72,1946.4084
1407.2508,1983.7812
1388.2896,2056.0536
1270.263,1886.6394
1388.5644,1676.6922
1318.353,1584.6342
